songlistID;song;artist;release_year;combined;;;;;;;
66;Just My Imagination;Rolling Stones;null;Just My Imagination by Rolling Stones;;;;;;;
67;Let It Bleed;Rolling Stones;1969;Let It Bleed by Rolling Stones;;;;;;;
68;Lets Spend the Night Together;Rolling Stones;1967;Lets Spend the Night Together by Rolling Stones;;;;;;;
69;Like A Rolling Stone;Rolling Stones;null;Like A Rolling Stone by Rolling Stones;;;;;;;
70;Little Queenie;Rolling Stones;null;Little Queenie by Rolling Stones;;;;;;;
71;Midnight Rambler;Rolling Stones;1969;Midnight Rambler by Rolling Stones;;;;;;;
72;Miss You;Rolling Stones;1978;Miss You by Rolling Stones;;;;;;;
73;Monkey Man;Rolling Stones;1969;Monkey Man by Rolling Stones;;;;;;;
74;Mothers Little Helper;Rolling Stones;1966;Mothers Little Helper by Rolling Stones;;;;;;;
75;Paint It Black;Rolling Stones;1966;Paint It Black by Rolling Stones;;;;;;;
76;Shattered;Rolling Stones;1978;Shattered by Rolling Stones;;;;;;;
77;Shes a Rainbow;Rolling Stones;1967;Shes a Rainbow by Rolling Stones;;;;;;;
78;Shes So Cold;Rolling Stones;null;Shes So Cold by Rolling Stones;;;;;;;
79;Start Me Up;Rolling Stones;1981;Start Me Up by Rolling Stones;;;;;;;
80;Street Fighting Man;Rolling Stones;1968;Street Fighting Man by Rolling Stones;;;;;;;
81;Sympathy For The Devil;Rolling Stones;1968;Sympathy For The Devil by Rolling Stones;;;;;;;
82;THE LAST TIME;Rolling Stones;1965;THE LAST TIME by Rolling Stones;;;;;;;
83;THE SPIDER AND THE FLY;Rolling Stones;1965;THE SPIDER AND THE FLY by Rolling Stones;;;;;;;
84;TIME IS ON MY SIDE;Rolling Stones;null;TIME IS ON MY SIDE by Rolling Stones;;;;;;;
85;Time Waits for No One;Rolling Stones;1975;Time Waits for No One by Rolling Stones;;;;;;;
86;Tumbling Dice;Rolling Stones;1972;Tumbling Dice by Rolling Stones;;;;;;;
87;Under My Thumb;Rolling Stones;1966;Under My Thumb by Rolling Stones;;;;;;;
88;UNDERCOVER OF THE NIGHT;Rolling Stones;1983;UNDERCOVER OF THE NIGHT by Rolling Stones;;;;;;;
89;Waiting on a Friend;Rolling Stones;1981;Waiting on a Friend by Rolling Stones;;;;;;;
90;Wild Horses;Rolling Stones;1971;Wild Horses by Rolling Stones;;;;;;;
91;You Cant Always Get What You Want;Rolling Stones;1969;You Cant Always Get What You Want by Rolling Stones;;;;;;;
92;YOU GOT THE SILVER;Rolling Stones;1969;YOU GOT THE SILVER by Rolling Stones;;;;;;;
93;YOU GOTTA MOVE;Rolling Stones;1971;YOU GOTTA MOVE by Rolling Stones;;;;;;;
94;Bullfrog Blues;Rory Gallagher;null;Bullfrog Blues by Rory Gallagher;;;;;;;
95;Cry Sister;Royal Bliss;null;Cry Sister by Royal Bliss;;;;;;;
96;2112: Overture / The Temples of Syrinx (Chronicles Version);Rush;1976;2112: Overture / The Temples of Syrinx (Chronicles Version) by Rush;;;;;;;
97;Closer to the Heart;Rush;1977;Closer to the Heart by Rush;;;;;;;
98;Entre Nous;Rush;1980;Entre Nous by Rush;;;;;;;
99;Finding My Way;Rush;null;Finding My Way by Rush;;;;;;;
100;Fly By Night;Rush;1975;Fly By Night by Rush;;;;;;;
